Emoticons,Directions
w(ﾟДﾟ)w,啊啊
(ノへ￣、),擦眼泪
"(￣_,￣ )",不屑
ヽ(✿ﾟ▽ﾟ)ノ,好耶
(๑•̀ㅂ•́)و✧,棒
(￣ε(#￣)☆╰╮o(￣皿￣///),抽
（づ￣3￣）づ╭❤～,亲
Σ( ° △ °|||)︴,汗
(～￣(OO)￣)ブ,笨
凸(艹皿艹 ),擦
(* ￣3)(ε￣ *),啵啵
(*￣rǒ￣),挖鼻屎
┗|｀O′|┛ 嗷~~,嗷
φ(≧ω≦*)♪,乐
︿(￣︶￣)︿,飞
(u‿ฺu✿ฺ),好滴
Hi~ o(*￣▽￣*)ブ,hi
♪(^∇^*),啦啦
o(*≧▽≦)ツ┏━┓,拍桌
╰(*°▽°*)╯,惊喜
（○｀ 3′○）,嘟嘴
o(*^＠^*)o,乖
(#`O′),喂
(°ー°〃),愣住
○|￣|_ =3,放屁
o(￣ヘ￣o＃),哼哼
（＝。＝）,可恶
~~( ﹁ ﹁ ) ~~~,切
(ーー゛),去
(ー`´ー),生气
(#`O′),喂
o(一︿一+)o,怨念
o(≧口≦)o,崩溃
"ㄟ( ▔, ▔ )ㄏ",不是我
(o_ _)ﾉ,败了
(⊙﹏⊙),呃呃呃
(ˉ▽￣～) 切~~,切
（＊￣（エ）￣）,无言
┑(￣Д ￣)┍,摊手
(＠_＠;),不懂
━┳━　━┳━,呆
(☆´益`)c,扶额
（´Д`）,囧
┗( T﹏T )┛,投降
(。﹏。*),我错了
o( =•ω•= )m,喵星人
≡ω≡,喵呜
(*￣(エ)￣),熊
(✿◡‿◡),害羞
(*/ω＼*),脸红
┭┮﹏┭┮,呜呜呜
ヾ(￣▽￣)Bye~Bye~,拜
( ﹁ ﹁ ) ~→,斜眼
Ψ(￣∀￣)Ψ,美味
✧(≖ ◡ ≖✿),闪
━━(￣ー￣*|||━━,淡定
ヽ(*。>Д<)o゜,太可怕了
┌(。Д。)┐,恐怖
○|￣|_,orz
o(￣▽￣)ｄ,good
(；′⌒`),伤心
X﹏X,糟糕
*<|:-) ,圣诞
(๑•̀ㅂ•́)و✧,棒
ヾ(≧▽≦*)o,爆笑
o(*≧▽≦)ツ,爆笑
(o゜▽゜)o☆[BINGO!],bingo
～(￣▽￣～)(～￣▽￣)～,得瑟
<(￣︶￣)>,得意
嗯~ o(*￣▽￣*)o,嗯哪
︿(￣︶￣)︿,飞
．<{=．．．．（嘎~嘎~嘎~）,嘎嘎
(￣▽￣)～■干杯□～(￣▽￣),干杯
φ(゜▽゜*)♪,高兴
╰(￣▽￣)╭,跟你说
<(￣︶￣)↗[GO!],go
o(￣▽￣)ｄ,good
*´∀`)´∀`)*´∀`)*´∀`),哈哈哈哈
(｡･∀･)ﾉﾞ,嗨
ヾ(≧∇≦*)ゝ,嗨
(u‿ฺu✿ฺ),好滴
（゜▽＾*））,好滴
(*^▽^*),好开心
ヽ(✿ﾟ▽ﾟ)ノ,好耶
(´▽`ʃ♡ƪ),happy
Hi~ o(*￣▽￣*)ブ,hi
○( ＾皿＾)っHiahiahia…,hiahia
(( へ(へ´∀`)へ,high
^O^,吼吼
( ＾∀＾）／欢迎＼( ＾∀＾）,欢迎
ヾ(￣ー￣)X(^▽^)ゞ,获胜
╰(*°▽°*)╯,惊喜
⊙▽⊙,惊喜
( ￣ー￣)人(^▽^ ),击掌
...φ(0￣*)啦啦啦_φ(*￣0￣)′,卡拉ok
...φ(0￣*)啦啦啦_φ(*￣0￣),k歌
(*^▽^*),快乐
♪(^∇^*),啦啦
...φ(0￣*)啦啦啦_φ(*￣0￣)>,啦啦啦
(๑´ㅂ`๑),乐
φ(≧ω≦*)♪,乐
(≧∀≦)ゞ,乐呵
(๑¯∀¯๑),满足
o(*￣︶￣*)o,满足
<(*￣▽￣*)/,咩哈哈
ε(*´･∀･｀)зﾞ,ohyeah
（≧0≦）//（-_-。）・・・,哦哦
(　ﾟ∀ﾟ) ﾉ♡,噢耶
(^&^)/,噢耶
””\(￣ー￣) (￣ー￣)//””,拍手
o(*≧▽≦)ツ┏━┓,拍桌
(～￣▽￣)～,飘
︿(￣︶￣)︿,飘飘然
(/≧▽≦)/,噗
(☆▽☆),期待
"*★,°*:.☆(￣▽￣)/$:*.°★* 。",散花
✧(≖ ◡ ≖✿),闪
ㄟ(≧◇≦)ㄏ,太棒了
ヽ(ﾟ∀ﾟ*)ﾉ━━━ｩ♪,逃
( *︾▽︾),陶醉
☆⌒(*＾-゜)v THX!!,thx
♪(´∇`*),天啊
"！*★,°*:.☆(￣▽￣)/$:*.°★* 。",万岁
||ヽ(*￣▽￣*)ノミ|Ю,我回来啦
~(～￣▽￣)～,我来了
(p≧w≦q),兴奋
o(*￣▽￣*)o,幸福
(＾－＾)V,耶
(＾Ｕ＾)ノ~ＹＯ,哟
(o゜▽゜)o☆,有了
(((o(*ﾟ▽ﾟ*)o))),赞
(￣︶￣)↗,涨
(o>ε(o>ｕ(≧∩≦),振奋
o(^▽^)o,真好
(｡･∀･)ﾉﾞ,嗨
(>▽<),嗷
ヾ(≧O≦)〃嗷~,嗷
┗|｀O′|┛ 嗷~~,嗷
(～￣(OO)￣)ブ,笨
(っ*´Д`)っ,笨蛋
ヾ(´∀`o)+,笨人
<(￣3￣)> 表！,表
不＞(￣ε￣ = ￣3￣)<要,不要啊
( *￣▽￣)((≧︶≦*),蹭
...(*￣０￣)ノ[等等我…],等等
o(￣ε￣*),嘟嘴
（○｀ 3′○）,嘟嘴
o(*^＠^*)o,乖
(￣┰￣*),鬼脸
(～o￣▽￣)～o 。。。滚来滚去……o～(＿△＿o～) ~。。。,滚
（*＾-＾*）,好可爱
(≧∇≦)ﾉ,好喜欢
～(　TロT)σ,坏人
(/0￣)o [呼唤],呼唤
n(*≧▽≦*)n,可爱
(～o￣▽￣)～o ~。。。,来啦
=￣ω￣=,卖萌
（´v｀）,满意
ο(=•ω＜=)ρ⌒☆,媚眼
<( ‵□′)───C＜─___-)||,捏脸
ヾ(´･ω･｀)ﾉ,你好
ヾ(^▽^*))),你回来啦
ｍ(o・ω・o)ｍ,哦
ε = = (づ′▽`)づ,跑
(～o￣3￣)～,飘
(。・・)ノ,弱
(ノω<。)ノ))☆.。,讨厌
☆⌒(*＾-゜)v THX!!,thx
(/ω＼*)……… (/ω•＼*),偷看
┬┴┤_•),偷窥
(ﾉ*･ω･)ﾉ,推到
(￣┰￣*),吐舌头
(#`O′),喂
（o´・ェ・｀o）,无辜
谢啦!!☆⌒(*＾-゜)v,谢
( ╯▽╰),欣慰
o(〃'▽'〃)o,真哒
^(*￣(oo)￣)^,猪
ZZzz…(。-ω-)..ooO((【•:*:~夢~:*:•】)),做梦
